iteracion,valor_coste
0,17848880.04163839
1,17848880.0416384
2,17848880.041638393
3,17848880.041638393
4,17848880.041638408
5,17848880.041638404
6,17848880.0416384
7,17848880.04163839
8,17848880.041638397
9,17848880.04163839
10,17848880.041638404
11,17848880.054250155
12,17848880.00854468
13,17848880.048836876
14,17848880.058864303
15,17848880.048006743
16,17848880.00601761
17,17848880.092395995
18,17848880.046976537
19,17848880.051397923
20,17848880.037122387
21,17848880.085797142
22,17848880.028952368
23,17848880.040312734
24,17848880.056864843
25,17848880.022350196
26,17848880.019714832
27,17848880.012469333
28,17848880.04728502
29,17848880.035124563
30,17848880.03734255
31,17848880.03949598
32,17848880.053761575
33,17848880.014580227
34,17848880.057357743
35,17848880.089806594
36,17848880.03446832
37,17848880.04716844
38,17848880.034317806
39,17848880.054852553
40,17848880.022021387
41,17848880.02458523
42,17848880.040430013
43,17848880.06886333
44,17848880.042759042
45,17848880.039532993
46,17848880.03149095
47,17848880.0995124
48,17848880.025544986
49,17848880.067494296
50,17848879.9908402
51,17848880.02994014
52,17848880.084498107
53,17848880.019642953
54,17848880.066990603
55,17848879.996926855
56,17848880.00677088
57,17848880.068259776
58,17848880.03628422
59,17848880.034876518
60,17848880.073408663
61,17848880.0342458
62,17848880.04130542
63,17848880.05011078
64,17848880.075900093
65,17848880.064316172
66,17848880.035881557
67,17848879.9918915
68,17848880.03476767
69,17848879.988836277
70,17848880.061937336
71,17848880.053420708
72,17848880.05940368
73,17848880.01328287
74,17848880.063120723
75,17848880.05364651
76,17848880.053381592
77,17848880.025093466
78,17848880.033961464
79,17848880.053173985
80,17848880.03237134
81,17848880.012822073
82,17848880.02444029
83,17848880.063845072
84,17848880.00042865
85,17848880.021128066
86,17848880.01433227
87,17848880.019312527
88,17848880.056780823
89,17848880.025642455
90,17848879.998794686
91,17848879.970353886
92,17848879.99376128
93,17848880.03170539
94,17848880.01670233
95,17848880.050173935
96,17848880.043964252
97,17848880.037494995
98,17848880.023488406
99,17848880.066580467
100,17848880.062744938
101,17848880.039703533
102,17848880.000851188
103,17848880.052299276
104,17848880.02858099
105,17848880.015603524
106,17848880.02965925
107,17848880.055758435
108,17848880.032534298
109,17848880.09622918
110,17848880.03219322
111,17848880.00254034
112,17848880.05795569
113,17848880.043400973
114,17848880.08061926
115,17848880.030521307
116,17848880.04680392
117,17848880.056824476
118,17848880.046305194
119,17848880.041814752
120,17848880.04972928
121,17848880.119677216
122,17848880.064833194
123,17848880.07409955
124,17848880.0036006
125,17848880.027777895
126,17848879.992503878
127,17848880.02301393
128,17848880.026402406
129,17848880.050507337
130,17848880.03417424
131,17848880.01634499
132,17848880.04143072
133,17848880.053966887
134,17848880.05019363
135,17848880.035250742
136,17848880.041877005
137,17848880.05366359
138,17848880.112119004
139,17848880.04696597
140,17848880.068345264
141,17848879.99065873
142,17848880.02692759
143,17848879.990104105
144,17848880.00277821
145,17848880.043949302
146,17848880.079159122
147,17848880.07773182
148,17848880.060043383
149,17848879.99587939
150,17848880.062381163
151,17848880.042355377
152,17848880.00811661
153,17848880.036324188
154,17848880.04645325
155,17848880.05907916
156,17848880.007989462
157,17848880.03501247
158,17848880.056965586
159,17848880.017103616
160,17848880.065344363
161,17848880.052772332
162,17848880.03425798
163,17848880.02044087
164,17848880.0110684
165,17848880.046793487
166,17848880.03745446
167,17848880.039836027
168,17848880.06314336
169,17848880.060589317
170,17848880.05556034
171,17848880.04732713
172,17848880.069862977
173,17848880.081561822
174,17848880.047324177
175,17848880.033094365
176,17848880.0496138
177,17848880.031101473
178,17848880.048349246
179,17848880.042580403
180,17848880.08486205
181,17848880.04549981
182,17848880.05539559
183,17848880.056577012
184,17848880.02383002
185,17848880.05188731
186,17848880.03584855
187,17848880.02419729
188,17848880.05163073
189,17848880.049080543
190,17848880.039608806
191,17848880.010983255
192,17848880.007300716
193,17848880.07845676
194,17848880.02789185
195,17848880.014914647
196,17848880.04632643
197,17848880.058329634
198,17848880.034133963
199,17848880.060462978
200,17848880.006515782
201,17848880.07562063
202,17848880.03392351
203,17848880.079969253
204,17848880.015198406
205,17848880.02962857
206,17848880.017504837
207,17848880.022944152
208,17848880.024765655
209,17848880.020737708
210,17848880.05684862
211,17848880.039063934
212,17848880.028968763
213,17848880.051856097
214,17848880.030477528
215,17848880.054272108
216,17848880.04935218
217,17848880.010801397
218,17848879.993015297
219,17848880.03232289
220,17848880.086665712
221,17848880.06450391
222,17848880.04303286
223,17848880.03897846
224,17848880.054696023
225,17848880.01478971
226,17848880.029192913
227,17848880.015635334
228,17848880.035786055
229,17848880.03601241
230,17848880.058143593
231,17848879.999157015
232,17848880.067316603
233,17848880.050402872
234,17848880.001139197
235,17848879.9956375
236,17848880.024064835
