iteracion,valor_coste
0,20387793.406944472
1,20387793.406944428
2,20387793.406944428
3,20387793.40694447
4,20387793.406944476
5,20387793.406944472
6,20387793.406944472
7,20387793.406944465
8,20387793.406944465
9,20387793.406944465
10,20387793.40694446
11,20387793.420528173
12,20387793.421739765
13,20387793.346221074
14,20387793.413244814
15,20387793.421023678
16,20387793.356709387
17,20387793.359555796
18,20387793.45849696
19,20387793.31338339
20,20387793.43508379
21,20387793.345664665
22,20387793.373954184
23,20387793.453068666
24,20387793.404209714
25,20387793.340079434
26,20387793.427647006
27,20387793.334590904
28,20387793.369732227
29,20387793.39219755
30,20387793.388906308
31,20387793.392995633
32,20387793.38489023
33,20387793.354401857
34,20387793.46065217
35,20387793.40584992
36,20387793.418486737
37,20387793.427216973
38,20387793.40242596
39,20387793.33640771
40,20387793.42081348
41,20387793.381019212
42,20387793.484796014
43,20387793.35442767
44,20387793.384871546
45,20387793.32355889
46,20387793.373217296
47,20387793.41147356
48,20387793.391518775
49,20387793.38334034
50,20387793.483752046
51,20387793.45414163
52,20387793.398140382
53,20387793.41054865
54,20387793.424863856
55,20387793.389028203
56,20387793.454269826
57,20387793.435699582
58,20387793.333055597
59,20387793.433007438
60,20387793.441104334
61,20387793.41182317
62,20387793.3757519
63,20387793.374764655
64,20387793.30725216
65,20387793.32025745
66,20387793.368543196
67,20387793.39597537
68,20387793.401162453
69,20387793.477383714
70,20387793.438079115
71,20387793.372451846
72,20387793.434847593
73,20387793.419748317
74,20387793.314598903
75,20387793.403334986
76,20387793.441495426
77,20387793.484723933
78,20387793.464185093
79,20387793.42870384
80,20387793.47521971
81,20387793.370961063
82,20387793.42060167
83,20387793.46245489
84,20387793.432537086
85,20387793.322442587
86,20387793.45743131
87,20387793.325949192
88,20387793.393892515
89,20387793.427259576
90,20387793.462159973
91,20387793.417015735
92,20387793.47788383
93,20387793.430557612
94,20387793.324897014
95,20387793.403183945
96,20387793.368339114
97,20387793.416604836
98,20387793.493983287
99,20387793.40075155
100,20387793.47186515
101,20387793.42545677
102,20387793.485897165
103,20387793.518262915
104,20387793.47760273
105,20387793.362987056
106,20387793.419184733
107,20387793.41092917
108,20387793.41378014
109,20387793.374107305
110,20387793.32077152
111,20387793.371134337
112,20387793.406998854
113,20387793.318812355
114,20387793.349922877
115,20387793.36945635
116,20387793.367357466
117,20387793.40416325
118,20387793.391408138
119,20387793.395321712
120,20387793.3743029
121,20387793.430941623
122,20387793.447663076
123,20387793.383979604
124,20387793.367699306
125,20387793.42188065
126,20387793.392216597
127,20387793.473115306
128,20387793.471196927
129,20387793.474047974
130,20387793.38254872
131,20387793.372628525
132,20387793.382820737
133,20387793.448572237
134,20387793.40991451
135,20387793.433569103
136,20387793.38747267
137,20387793.41592206
138,20387793.341089994
139,20387793.389038797
140,20387793.371771183
141,20387793.341411278
142,20387793.37116857
143,20387793.441452153
144,20387793.3844984
145,20387793.38631257
146,20387793.409322683
147,20387793.39148042
148,20387793.457492933
149,20387793.500562653
150,20387793.455878384
151,20387793.40290439
152,20387793.398855306
153,20387793.508022055
154,20387793.406784758
155,20387793.342824847
156,20387793.463431224
157,20387793.393520072
158,20387793.32263718
159,20387793.49828043
160,20387793.407652535
161,20387793.37534734
162,20387793.42960048
