iteracion,valor_coste
0,21589941.242187873
1,21589941.24218788
2,21589941.24218786
3,21589941.24218787
4,21589941.24218788
5,21589941.242187873
6,21589941.242187895
7,21589941.242187873
8,21589941.242187873
9,21589941.242187884
10,21589941.242187876
11,21589941.24344945
12,21589941.2371454
13,21589941.25157849
14,21589941.258781422
15,21589941.179978613
16,21589941.31286493
17,21589941.22697112
18,21589941.24696259
19,21589941.18461585
20,21589941.235310115
21,21589941.199434377
22,21589941.255672064
23,21589941.22594335
24,21589941.23335269
25,21589941.257534124
26,21589941.25885476
27,21589941.233900055
28,21589941.239815183
29,21589941.232905794
30,21589941.24476213
31,21589941.242758013
32,21589941.24696769
33,21589941.2294965
34,21589941.25074614
35,21589941.249314796
36,21589941.279393267
37,21589941.24978893
38,21589941.26042275
39,21589941.243204582
40,21589941.22365017
41,21589941.261013698
42,21589941.229862448
43,21589941.242848814
44,21589941.27439255
45,21589941.239710964
46,21589941.18060542
47,21589941.26146961
48,21589941.304767445
49,21589941.20609051
50,21589941.281301737
51,21589941.2662789
52,21589941.23048596
53,21589941.249902315
54,21589941.26926965
55,21589941.273202274
56,21589941.18426121
57,21589941.26115469
58,21589941.251505043
59,21589941.27100934
60,21589941.27976982
61,21589941.163223203
62,21589941.218301073
63,21589941.29985493
64,21589941.26867714
65,21589941.23622399
66,21589941.22854884
67,21589941.25775716
68,21589941.24753178
69,21589941.232085817
70,21589941.23529427
71,21589941.240402125
72,21589941.238097448
73,21589941.240488667
74,21589941.252494935
75,21589941.21932151
76,21589941.280653782
77,21589941.24510994
78,21589941.15119205
79,21589941.22481052
80,21589941.27377519
81,21589941.25691579
82,21589941.291003108
83,21589941.260719884
84,21589941.169642795
85,21589941.228784736
86,21589941.220079463
87,21589941.25403732
88,21589941.20940324
89,21589941.237973124
90,21589941.277426366
91,21589941.259268507
92,21589941.242089156
93,21589941.27140649
94,21589941.241893046
95,21589941.263387807
96,21589941.22573967
97,21589941.229034636
98,21589941.23917282
99,21589941.218466587
100,21589941.27558338
101,21589941.23830493
102,21589941.212009788
103,21589941.232131556
104,21589941.253859244
105,21589941.25613245
106,21589941.185491387
107,21589941.29166661
108,21589941.294409886
109,21589941.31376945
110,21589941.210431255
111,21589941.257378228
112,21589941.30160492
113,21589941.231167942
114,21589941.23069149
115,21589941.213530052
116,21589941.25938801
117,21589941.21641912
118,21589941.17984498
119,21589941.198615786
120,21589941.232712127
121,21589941.2508697
122,21589941.27160152
123,21589941.18998266
124,21589941.218193047
125,21589941.260409195
126,21589941.269796085
127,21589941.26952104
128,21589941.22346437
129,21589941.285557263
130,21589941.288957216
131,21589941.2273099
132,21589941.207910895
133,21589941.276776075
134,21589941.238371525
135,21589941.217468396
136,21589941.198202427
137,21589941.21610998
138,21589941.20807409
139,21589941.237959553
140,21589941.281080503
141,21589941.25453322
142,21589941.20882377
143,21589941.222999945
144,21589941.23139977
145,21589941.205254205
146,21589941.22631545
147,21589941.23115951
148,21589941.23378033
149,21589941.236746646
150,21589941.24574222
151,21589941.216629133
152,21589941.264263477
153,21589941.329121824
154,21589941.21682631
155,21589941.26371959
156,21589941.266126156
157,21589941.241967
158,21589941.237656526
159,21589941.24576825
160,21589941.178536233
161,21589941.201804344
162,21589941.209263604
163,21589941.207576443
164,21589941.221962713
165,21589941.217057515
166,21589941.191708755
167,21589941.197006065
168,21589941.1978082
169,21589941.260410737
170,21589941.193874747
171,21589941.275904343
172,21589941.29186971
173,21589941.21672073
174,21589941.20794792
175,21589941.228281572
176,21589941.286187567
177,21589941.21204966
178,21589941.308759682
179,21589941.190143954
180,21589941.282076716
181,21589941.22676421
182,21589941.2520338
183,21589941.25975594
184,21589941.274752147
185,21589941.25039769
186,21589941.186599564
187,21589941.21829553
188,21589941.218712218
189,21589941.186107762
190,21589941.229295366
191,21589941.28154392
192,21589941.231840223
193,21589941.231574737
194,21589941.207729097
195,21589941.237594165
196,21589941.22196862
197,21589941.275463063
198,21589941.19255592
199,21589941.223640323
200,21589941.231111422
201,21589941.232211728
202,21589941.202776015
203,21589941.250979688
204,21589941.2151933
205,21589941.20960882
206,21589941.235361733
207,21589941.229462598
208,21589941.30672504
209,21589941.235694885
210,21589941.21986483
211,21589941.211195968
212,21589941.213291693
213,21589941.222005274
214,21589941.251654036
215,21589941.211542014
216,21589941.216576688
217,21589941.234456323
218,21589941.215263058
219,21589941.251180932
220,21589941.209055472
221,21589941.228912007
