iteracion,valor_coste
0,51286990.80476895
1,48090513.537481755
2,48090513.537481755
3,48090513.537481755
4,48090513.537481755
5,48090513.537481755
6,48090513.537481755
7,48090513.537481755
8,48090513.537481755
9,47715388.45529479
10,47715388.45529479
11,46806286.58364426
12,46806286.58364426
13,46806286.58364426
14,46806286.58364426
15,46131853.84372323
16,46131853.84372323
17,46131853.84372323
18,46131853.84372323
19,46131853.84372323
20,46131853.84372323
21,46131853.84372323
22,46131853.84372323
23,46131853.84372323
24,46131853.84372323
25,46131853.84372323
26,46131853.84372323
27,46131853.84372323
28,46131853.84372323
29,46131853.84372323
30,46131853.84372323
31,45575615.75272857
32,45575615.75272857
33,44455022.515373066
34,44455022.515373066
35,44455022.515373066
36,44455022.515373066
37,44455022.515373066
38,44229595.37512371
39,44229595.37512371
40,44229595.37512371
41,44229595.37512371
42,44229595.37512371
43,44229595.37512371
44,44229595.37512371
45,44229595.37512371
46,44229595.37512371
47,44229595.37512371
48,43721654.28402305
49,43284522.97782409
50,41043793.63019571
51,41043793.63019571
52,41043793.63019571
53,41043793.63019571
54,41043793.63019571
55,41043793.63019571
56,41043793.63019571
57,41043793.63019571
58,41043793.63019571
59,41043793.63019571
60,41043793.63019571
61,41043793.63019571
62,41043793.63019571
63,41043793.63019571
64,41043793.63019571
65,41043793.63019571
66,41043793.63019571
67,41043793.63019571
68,41043793.63019571
69,41043793.63019571
70,41043793.63019571
71,41043793.63019571
72,41043793.63019571
73,41043793.63019571
74,41043793.63019571
75,41043793.63019571
76,41043793.63019571
77,41043793.63019571
78,41043793.63019571
79,41043793.63019571
80,41043793.63019571
81,41043793.63019571
82,41043793.63019571
83,41043793.63019571
84,41043793.63019571
85,41043793.63019571
86,41043793.63019571
87,41043793.63019571
88,41043793.63019571
89,41043793.63019571
90,41043793.63019571
91,40186462.64755209
92,40186462.64755209
93,40186462.64755209
94,40186462.64755209
95,40186462.64755209
96,40186462.64755209
97,40186462.64755209
98,40186462.64755209
99,40186462.64755209
100,40186462.64755209
101,40186462.64755209
102,40186462.64755209
103,40186462.64755209
104,38415560.07674051
105,38415560.07674051
106,38415560.07674051
107,38415560.07674051
108,38415560.07674051
109,38415560.07674051
110,38415560.07674051
111,38415560.07674051
112,38415560.07674051
113,38415560.07674051
114,38415560.07674051
115,38415560.07674051
116,38415560.07674051
117,38415560.07674051
118,38415560.07674051
119,37851033.307737276
120,37851033.307737276
121,37851033.307737276
122,37851033.307737276
123,37851033.307737276
124,37851033.307737276
125,37851033.307737276
