====================================================
BPP MULTI-SWEEP SUMMARY
Timestamp: 2026-06-01T12:26:41
====================================================

GLOBAL STATS
--------------------------------------------
Total rows: 450
Feasible rate: 0.8133
Perfect rate: 0.7489
Combinatorial rate: 0.0644
Infeasible rate: 0.1867

GLOBAL BIN METRICS
--------------------------------------------
Perfect num bins mean: 3.6736
Perfect num bins std: 0.7239
Perfect refined num bins mean: 2.0000
Perfect refined num bins std: 0.0000
Combinatorial num bins mean: 2.6552
Combinatorial num bins std: 0.7209
Combinatorial refined num bins mean: 2.0000
Combinatorial refined num bins std: 0.0000

GLOBAL EMBEDDING METRICS
--------------------------------------------
alpha=35.0, beta=0.0, lambda_2=100.0, lambda_3=400.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=0.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.8938, min_gap=0.7394, mean_row_max=0.9458, min_row_max=0.8648, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=30.0, beta=0.0, lambda_2=50.0, lambda_3=100.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=0.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.8840, min_gap=0.5344, mean_row_max=0.9393, min_row_max=0.7553, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=35.0, beta=0.0, lambda_2=25.0, lambda_3=250.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=0.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.8749, min_gap=0.4625, mean_row_max=0.9352, min_row_max=0.7201, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=30.0, beta=0.0, lambda_2=150.0, lambda_3=400.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=0.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.8606, min_gap=0.4302, mean_row_max=0.9284, min_row_max=0.7151, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=40.0, beta=0.0, lambda_2=50.0, lambda_3=400.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=0.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.8997, min_gap=0.5713, mean_row_max=0.9487, min_row_max=0.7856, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.3333, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=40.0, beta=0.0, lambda_2=50.0, lambda_3=250.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=0.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.8754, min_gap=0.6727, mean_row_max=0.9374, min_row_max=0.8363, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.3333, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=35.0, beta=0.0, lambda_2=150.0, lambda_3=400.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.0000, perfect_std=1.0000, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.9389, min_gap=0.7928, mean_row_max=0.9682, min_row_max=0.8951, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=35.0, beta=0.0, lambda_2=150.0, lambda_3=150.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.3333, perfect_std=0.5774, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.9794, min_gap=0.9040, mean_row_max=0.9888, min_row_max=0.9477, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=40.0, beta=0.0, lambda_2=25.0, lambda_3=250.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.3333, perfect_std=0.5774, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.9504, min_gap=0.8200, mean_row_max=0.9746, min_row_max=0.9091, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
alpha=30.0, beta=0.0, lambda_2=100.0, lambda_3=150.0 | runs=3, feasible_rate=1.0000, perfect_rate=1.0000, combinatorial_rate=0.0000, perfect_mean=3.3333, perfect_std=0.5774, perfect_refined_mean=2.0000, perfect_refined_std=0.0000, combinatorial_mean=nan, combinatorial_std=nan, combinatorial_refined_mean=nan, combinatorial_refined_std=nan, mean_gap=0.9393, min_gap=0.7164, mean_row_max=0.9691, min_row_max=0.8559, dead_rows=0.0000, weak_rows=0.0000, ambiguous_rows=0.0000, num_combinations_mean=1.0000, num_combinations_max=1.0000
