"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"11","355.8463962368469","108.47436705386146","4.66965834416856","-0.31065439833944936","0.009765625","0.0087890625","0.0107421875","1500","0.00014754759760565115","0","0.00014754759760565115","0.00014754759760565115","11_10:0.0040662323113495324;11_12:0.011115065677981345","11_10:660;11_12:660","true"
"12","411.90678464079963","23.37222150501087","4.578391960032995","-0.3092994184637879","0.019775390625","0.0234375","0.01611328125","1500","0.000510730488726242","0","0.000510730488726242","0.000510730488726242","12_17:0.01497884457072371","12_17:660","true"
"13","539.5079565869604","263.0840116216627","4.622890845330395","-0.3132306393256634","0.011474609375","0.015625","0.00732421875","1500","0.00023240836661074418","0","0.00023240836661074418","0.00023240836661074418","13_12:0.011058375455084923","13_12:660","true"
"14","257.7772889631379","233.58608525749452","4.788415381342146","-0.30900343434313965","0.006103515625","0.00732421875","0.0048828125","1500","0.000122089300561393","0","0.000122089300561393","0.000122089300561393","14_0:0.005840529215404788","14_0:660","true"
"15","447.41137129845083","82.98955675445477","4.699833073392752","-0.3120030136653","0.035400390625","0.0185546875","0.05224609375","1500","0.000184658885320765","0","0.000184658885320765","0.000184658885320765","15_22:0.012047355297749057","15_22:660","true"
"16","535.6717568691515","290.71453720961375","4.610604335145695","-0.3138385279742742","0.008056640625","0.00537109375","0.0107421875","1500","0.00007341974467446089","0","0.00007341974467446089","0.00007341974467446089","16_8:0.0040851221531312265","16_8:660","true"
"17","369.83522616899677","348.18801403134336","4.7894542466578995","-0.309639823236787","0.0146484375","0.01708984375","0.01220703125","1500","0.00023277273326729003","0","0.00023277273326729003","0.00023277273326729003","17_30:0.008681859808356063","17_30:660","true"
"18","327.8531182999007","69.65835034470645","4.9169769181465295","-0.30823139413664785","0.010986328125","0.015625","0.00634765625","1500","0.00013372235303074233","0","0.00013372235303074233","0.00013372235303074233","18_19:0.013883013278946865;18_14:0.004520824035407378","18_19:660;18_14:660","true"
"19","167.95085510317108","22.069739091962656","4.711876728447141","-0.3060263319182738","0.041259765625","0.02294921875","0.0595703125","1500","0.0007647298973189992","0","0.0007647298973189992","0.0007647298973189992","19_20:0.01405185587156646","19_20:660","true"
"20","338.09908175180345","150.65914564011499","4.75150684426629","-0.31065479909444627","0.01904296875","0.021484375","0.0166015625","1500","0.00021171820980328063","0","0.00021171820980328063","0.00021171820980328063","","","true"
"21","292.7317333131852","150.4198995145802","4.643175971661085","-0.3118989078141984","0.03857421875","0.03076171875","0.04638671875","1500","0.0002312239019810514","0","0.0002312239019810514","0.0002312239019810514","21_20:0.008851383497269438","21_20:660","true"
"22","346.617048997218","58.705664438374974","4.894001526282361","-0.3085260924821569","0.0810546875","0.037109375","0.125","1500","0.0007904692031820728","0","0.0007904692031820728","0.0007904692031820728","22_21:0.012944089590985863;22_23:0.016599764433112923","22_21:660;22_23:660","true"
"23","168.43130077525146","38.82109479024354","4.673780472928107","-0.31124151331845984","0.0439453125","0.05908203125","0.02880859375","1500","0.0006853918629886945","0","0.0006853918629886945","0.0006853918629886945","","","true"
"24","99.82915664902592","72.0542030897389","4.733395005141045","-0.31079041514477307","0.02099609375","0.021484375","0.0205078125","1500","0.0004180150121434271","0","0.0004180150121434271","0.0004180150121434271","24_23:0.014263835458674073","24_23:660","true"
"25","218.80273829406715","231.50696207632737","4.810072581377586","-0.310553819024601","0.018310546875","0.01611328125","0.0205078125","1500","0.00011269653219844004","0","0.00011269653219844004","0.00011269653219844004","25_24:0.008321690701609846;25_26:0.00508546346462152","25_24:660;25_26:660","true"
"26","394.39514451966573","327.8737937596039","4.71272227852176","-0.3109596371888392","0.009765625","0.01220703125","0.00732421875","1500","0.00024199613740160262","0","0.00024199613740160262","0.00024199613740160262","26_16:0.0038448487798676267","26_16:660","true"
"27","373.7692480222562","200.32061097511416","4.800989185940189","","0.011962890625","0.005859375","0.01806640625","1500","0.00034042767601672337","0","0.00034042767601672337","0.00034042767601672337","27_26:0.005534913193940366","27_26:660","true"
"28","177.83000098483623","109.62891498982583","4.90196508145971","-0.30821614899288385","0.086669921875","0.044921875","0.12841796875","1500","0.0005257545064431651","0","0.0005257545064431651","0.0005257545064431651","28_27:0.006149091207021284;28_29:0.012243299823704284;28_35:0.013866644688193708","28_27:660;28_29:660;28_35:660","true"
"29","364.96620806373585","39.42732453150974","4.636939181916007","-0.33701505913579904","0.035400390625","0.0234375","0.04736328125","1500","0.0008365222807389222","0","0.0008365222807389222","0.0008365222807389222","","","true"
"30","472.4356240376861","197.59705402380118","4.563087250380774","-0.3144896289789751","0.010009765625","0.0078125","0.01220703125","1500","0.00025661935071948896","0","0.00025661935071948896","0.00025661935071948896","30_29:0.008724358365740731","30_29:660","true"
"31","385.7357140446349","77.31294471027667","4.792784512374378","-0.3101493841831437","0.018310546875","0.02001953125","0.0166015625","1500","0.0009097682043851052","0","0.0009097682043851052","0.0009097682043851052","31_30:0.008915138118910926","31_30:660","true"
"32","413.5853132916131","41.01427693730037","4.73651461393604","-0.31010307966828876","0.036376953125","0.02783203125","0.044921875","1500","0.00021930479756311757","0","0.00021930479756311757","0.00021930479756311757","32_36:0.006638874098008896;32_31:0.021009571315368458","32_36:660;32_31:660","true"
"33","255.64604174219394","109.17736857274184","4.849936777086279","-0.30883841066123774","0.02587890625","0.02880859375","0.02294921875","1500","0.00011901286039497248","0","0.00011901286039497248","0.00011901286039497248","33_20:0.004965409895558048;33_39:0.003782971967858012","33_20:660;33_39:660","true"
"34","421.3981050010614","260.27116383258834","4.79004926658828","-0.309504945970127","0.00634765625","0.00634765625","0.00634765625","1500","0.00016114884172718872","0","0.00016114884172718872","0.00016114884172718872","34_24:0.008388348519913658","34_24:660","true"
"35","159.9103226456904","47.0896194992534","4.762914149333855","-0.3105940547290412","0.06201171875","0.0263671875","0.09765625","1500","0.0002882522106352189","0","0.0002882522106352189","0.0002882522106352189","35_47:0.00638853080730456","35_47:660","true"
"36","344.48049507431904","106.28777508698307","4.5611402714548035","-0.32032756910701254","0.02197265625","0.017578125","0.0263671875","1500","0.00025950110978532176","0","0.00025950110978532176","0.00025950110978532176","","","true"
"37","251.5310419586028","65.17910702727146","4.9573819852739005","-0.30739515329904354","0.029052734375","0.0224609375","0.03564453125","1500","0.0005461137485637919","0","0.0005461137485637919","0.0005461137485637919","37_52:0.018952967665697845;37_38:0.004329815814260812","37_52:660;37_38:660","true"
"38","374.60851427954304","181.89399515504732","4.711706914908827","-0.3116279478812238","0.006591796875","0.0078125","0.00537109375","1500","0.000185467359486796","0","0.000185467359486796","0.000185467359486796","","","true"
"39","299.6387820939231","127.34976179271665","4.648800352489159","-0.312155986798199","0.027099609375","0.04052734375","0.013671875","1500","0.0008277795880911438","0","0.0008277795880911438","0.0008277795880911438","39_38:0.009221711404550026;39_40:0.005575073617812898","39_38:660;39_40:660","true"
"40","386.3958729542189","141.30736753767445","4.817628931710145","-0.31014676240726335","0.01904296875","0.015625","0.0224609375","1500","0.00015903020463909487","0","0.00015903020463909487","0.00015903020463909487","40_41:0.025897892320258825","40_41:660","true"
"41","145.8128456797799","14.602058309009523","4.768613376581079","-0.2887806067242229","0.03564453125","0.0419921875","0.029296875","1500","0.016236172824249034","0","0.016236172824249034","0.016236172824249034","41_42:0.02080284939291882","41_42:660","true"
"42","221.87217452503356","159.6952488040689","4.854803227941787","-0.30893259534444345","0.00830078125","0.0087890625","0.0078125","1500","0.0003477569413176396","0","0.0003477569413176396","0.0003477569413176396","","","true"
"43","466.3919447454021","464.67808740650645","4.717998768717497","-0.3107613823150224","0.013916015625","0.013671875","0.01416015625","1500","0.00009806973718760657","0","0.00009806973718760657","0.00009806973718760657","43_34:0.003175949686347962;43_42:0.007236057802778972","43_34:660;43_42:660","true"
"44","243.71163443390776","68.21034677467027","4.563578886698587","-0.31787632438315244","0.04638671875","0.03466796875","0.05810546875","1500","0.0013389538360330828","0","0.0013389538360330828","0.0013389538360330828","44_43:0.00937009322970414","44_43:660","true"
"45","349.7869359422193","181.82694712065532","4.818296243505754","-0.3092514039448694","0.0625","0.072265625","0.052734375","1500","0.0006173368402459089","0","0.0006173368402459089","0.0006173368402459089","45_54:0.057964318157773115;45_44:0.019429873261966657","45_54:660;45_44:660","true"
"46","203.7729443566144","12.679038593310596","4.769202106080412","-0.3043932076142496","0.114990234375","0.16650390625","0.0634765625","1500","0.00035488281951239983","0","0.00035488281951239983","0.00035488281951239983","46_45:0.1737627802173284;46_47:0.13197557833349013","46_45:660;46_47:660","true"
"47","504.5717450556688","33.83239772748507","4.693276698198214","-0.3111505616738272","0.04296875","0.0390625","0.046875","1500","0.0004444668741407687","0","0.0004444668741407687","0.0004444668741407687","47_48:0.013564092090294771","47_48:660","true"
"48","54.873873568231666","36.714005700954715","4.579561214128263","-0.3128527566038631","0.0244140625","0.04345703125","0.00537109375","1500","0.0003847678093573118","0","0.0003847678093573118","0.0003847678093573118","48_49:0.009866507421109866","48_49:660","true"
"49","188.16559503615014","128.35926066579083","4.800344423987549","-0.30991217018271416","0.0244140625","0.02294921875","0.02587890625","1500","0.0001912383013143049","0","0.0001912383013143049","0.0001912383013143049","49_55:0.013946982763977434;49_50:0.013158938477693144","49_55:660;49_50:660","true"
"50","300.6248679185584","23.817009162284997","4.727822358648768","-0.29945163021072196","0.042236328125","0.03857421875","0.0458984375","1500","0.0008991653740689275","0","0.0008991653740689275","0.0008991653740689275","50_51:0.015739608492347068","50_51:660","true"
"51","346.0880618289482","89.49196279746079","4.771213210291972","-0.3103199215304916","0.020263671875","0.02587890625","0.0146484375","1500","0.00024349051390962792","0","0.00024349051390962792","0.00024349051390962792","51_36:0.005552941476148376","51_36:660","true"
"52","306.6443080050667","18.14524920029382","4.871850723315274","-0.3083517743708508","0.021484375","0.01953125","0.0234375","1500","0.0013839768392331275","0","0.0013839768392331275","0.0013839768392331275","52_56:0.04834368331692565","52_56:660","true"
"53","274.86347111682","319.01500842750033","4.986764509269198","-0.30629751568776786","0.03125","0.0234375","0.0390625","1500","0.00017913171406844407","0","0.00017913171406844407","0.00017913171406844407","53_41:0.02599058487290118;53_60:0.0085330148006523","53_41:660;53_60:660","true"
"54","240.98717887377236","166.337826139008","4.914162129071861","-0.3079640927175306","0.031494140625","0.02001953125","0.04296875","1500","0.00022017262634604502","0","0.00022017262634604502","0.00022017262634604502","54_64:0.007847074469874232","54_64:660","true"
"55","77.58287708361846","82.30846244541296","4.891693883256933","-0.3081475212630315","0.021240234375","0.02099609375","0.021484375","1500","0.0007151473784643356","0","0.0007151473784643356","0.0007151473784643356","55_68:0.011892130807823975","55_68:660","true"
"56","131.02854545219742","99.47565718828025","4.9480142216801735","-0.30736402539631974","0.013671875","0.015625","0.01171875","1500","0.00047813412460372666","0","0.00047813412460372666","0.00047813412460372666","","","true"
"57","445.16188416792596","201.3131447510312","4.742541394817886","-0.3094608182229042","0.01708984375","0.01611328125","0.01806640625","1500","0.0001216891800177329","0","0.0001216891800177329","0.0001216891800177329","57_56:0.007935174776762005;57_58:0.006917893036216843","57_56:660;57_58:660","true"
"58","518.7164808734434","153.7014137167812","4.864609643001999","-0.3095826382056906","0.160400390625","0.1396484375","0.18115234375","1500","0.00029814430079696483","0","0.00029814430079696483","0.00029814430079696483","58_59:0.004786426206122241","58_59:660","true"
"59","445.99247798988085","51.36872696660932","4.797427288983483","-0.309161380353075","0.052490234375","0.0244140625","0.08056640625","1500","0.00011215829130363356","0","0.00011215829130363356","0.00011215829130363356","59_60:0.006334161396629873","59_60:660","true"
"60","55.00436213949155","123.35245405399934","4.921561602943866","-0.3076859354736121","0.013916015625","0.01904296875","0.0087890625","1500","0.0002036668747417913","0","0.0002036668747417913","0.0002036668747417913","60_61:0.009969451645297556","60_61:660","true"
"61","220.08433948568083","37.552551072108145","4.826779511375754","-0.3017545216047978","0.021484375","0.0185546875","0.0244140625","1500","0.0005131173262170155","0","0.0005131173262170155","0.0005131173262170155","","","true"
"62","206.86634317778737","178.47876281883418","4.871928110946254","-0.30910053075251653","0.018798828125","0.009765625","0.02783203125","1500","0.00023579506357064112","0","0.00023579506357064112","0.00023579506357064112","62_72:0.03793370423873568;62_61:0.010169361005375382","62_72:660;62_61:660","true"
"63","412.4052071785638","299.86262943860226","4.661826261799694","-0.3114525709719431","0.0244140625","0.02197265625","0.02685546875","1500","0.0001694164957645114","0","0.0001694164957645114","0.0001694164957645114","63_62:0.02448027787042184","63_62:660","true"
"64","129.14034851402968","125.63741827534685","4.749652800557593","-0.3107555679666697","0.023193359375","0.0234375","0.02294921875","1500","0.0002560579075443687","0","0.0002560579075443687","0.0002560579075443687","64_63:0.005536412573741184;64_65:0.005171587035515068","64_63:660;64_65:660","true"
"65","291.3466791883952","212.19684019171277","4.684321985663524","-0.3112548288758768","0.067626953125","0.072265625","0.06298828125","1500","0.000124640957473949","0","0.000124640957473949","0.000124640957473949","","","true"
"66","85.09082395832829","113.00603791604898","4.932189803479873","-0.30805561692545796","0.021728515625","0.0146484375","0.02880859375","1500","0.0006198511068097","0","0.0006198511068097","0.0006198511068097","66_73:0.013849776250541512;66_65:0.0113869685093968","66_73:660;66_65:660","true"
"67","479.0014069567766","234.8835434490076","4.720300687258298","-0.31066413212907157","0.020263671875","0.02490234375","0.015625","1500","0.0002492282012739627","0","0.0002492282012739627","0.0002492282012739627","67_66:0.011097541987466764","67_66:660","true"
"68","279.308309943441","86.08388175689852","4.831981380330571","-0.30844225394428076","0.017822265625","0.01318359375","0.0224609375","1500","0.0013032026046365128","0","0.0013032026046365128","0.0013032026046365128","68_67:0.010958941347994883","68_67:660","true"
"69","331.1704089342112","43.56649896496423","4.705227497599387","-0.3112827319556066","0.01708984375","0.01416015625","0.02001953125","1500","0.00021865758228321582","0","0.00021865758228321582","0.00021865758228321582","69_68:0.008066642192919193","69_68:660","true"
"70","273.2249718282514","40.51742488772261","4.767693950716292","-0.2991547723061579","0.04833984375","0.04541015625","0.05126953125","1500","0.0008800483372808266","0","0.0008800483372808266","0.0008800483372808266","70_74:0.008486085593901904;70_69:0.009328449495540514","70_74:660;70_69:660","true"
"71","311.95453707612484","137.891646720382","4.972105641872057","-0.307078522160035","0.094482421875","0.12890625","0.06005859375","1500","0.00022616491898234768","0","0.00022616491898234768","0.00022616491898234768","71_58:0.006654856447983443;71_77:0.007794301332889941","71_58:660;71_77:660","true"
"72","45.539150348360266","26.715935572592546","4.7382609370396835","-0.2795033791163603","0.075439453125","0.0498046875","0.10107421875","1500","0.012121933046896308","0","0.012121933046896308","0.012121933046896308","","","true"
"73","202.5602569125341","215.15375665965811","5.020377383289503","-0.30664972496028814","0.020263671875","0.021484375","0.01904296875","1500","0.00027562401103759486","0","0.00027562401103759486","0.00027562401103759486","","","true"
"74","276.18649124777045","244.63852067404906","4.807272789248015","-0.3099374655099208","0.00927734375","0.01123046875","0.00732421875","1500","0.00020391564338434747","0","0.00020391564338434747","0.00020391564338434747","74_89:0.015133539690537212","74_89:660","true"
"75","57.25818422644726","45.40020635172542","4.768860365069644","-0.31864378902985674","0.08544921875","0.1171875","0.0537109375","1500","0.005621831007785266","0","0.005621831007785266","0.005621831007785266","","","true"
"76","204.022076848489","129.65686894876677","5.030914288462906","-0.30657106883198","0.0615234375","0.072265625","0.05078125","1500","0.0005749604167533727","0","0.0005749604167533727","0.0005749604167533727","76_75:0.059927139822937736;76_77:0.016542699424604623","76_75:660;76_77:660","true"
"77","325.18391466113076","142.4851600815035","4.747530451775171","-0.30523623500221747","0.134033203125","0.125","0.14306640625","1500","0.00022512107692358288","0","0.00022512107692358288","0.00022512107692358288","","","true"
"78","345.8804913839311","155.73221425245436","4.826968269617968","-0.31003497533609325","0.01806640625","0.0244140625","0.01171875","1500","0.0002364543296973719","0","0.0002364543296973719","0.0002364543296973719","78_77:0.010538152704621273","78_77:660","true"
"79","409.8712172642927","188.47458560683765","4.739020746709154","-0.3109722246864854","0.012451171875","0.013671875","0.01123046875","1500","0.0002979339592957091","0","0.0002979339592957091","0.0002979339592957091","79_78:0.004996722668948156;79_80:0.006679818509880114;79_91:0.0045263260474163736","79_78:660;79_80:660;79_91:660","true"
"80","178.2418530803682","344.0447474913797","4.902829467830981","-0.30849992225723727","0.005126953125","0.005859375","0.00439453125","1500","0.00015119534033903063","0","0.00015119534033903063","0.00015119534033903063","80_81:0.004202579413073421","80_81:660","true"
"81","289.95022491168777","200.33156030502477","4.789850258243647","-0.3062637065230052","0.021484375","0.029296875","0.013671875","1500","0.0002528316881408723","0","0.0002528316881408723","0.0002528316881408723","81_72:0.04600591309260765","81_72:660","true"
"82","464.9028562628079","580.3309182890612","4.64134435371974","-0.31186369766334915","0.007568359375","0.0087890625","0.00634765625","1500","0.00008010377967660114","0","0.00008010377967660114","0.00008010377967660114","82_81:0.004514442220256376;82_83:0.005210262046715902","82_81:660;82_83:660","true"
"83","102.56109905789779","155.2857870028498","4.7556097121369385","","0.0068359375","0.0068359375","0.0068359375","1500","0.0002566837146124991","0","0.0002566837146124991","0.0002566837146124991","83_92:0.008065941295946233","83_92:660","true"
