"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"11","161.02174740918267","206.12137875557298","4.97238713177341","-0.307214316560019","0.03466796875","0.0322265625","0.037109375","1300","0.00021412360746162376","0","0.00021412360746162376","0.00021412360746162376","11_12:0.0055110249084315","11_12:660","true"
"12","188.0303830645826","83.5803198342826","4.936316168173382","-0.3079608272575031","0.014892578125","0.01171875","0.01806640625","1300","0.00024568575353668904","0","0.00024568575353668904","0.00024568575353668904","12_17:0.007083915391437906","12_17:660","true"
"13","332.8589500244278","78.45848759542567","5.005803969153406","-0.3067650398842775","0.01513671875","0.0107421875","0.01953125","1300","0.00021959563001396675","0","0.00021959563001396675","0.00021959563001396675","13_12:0.007792112464671597","13_12:660","true"
"14","283.9519411504214","105.1131707471977","4.903352880719666","-0.308419961199297","0.018310546875","0.01611328125","0.0205078125","1300","0.00023483579110049061","0","0.00023483579110049061","0.00023483579110049061","14_0:0.006051690155396722;14_18:0.006424481350519762","14_0:660;14_18:660","true"
"15","315.21962382397925","40.49891426880705","4.94791673853564","-0.308052427832017","0.01171875","0.009765625","0.013671875","1300","0.00021086207238436627","0","0.00021086207238436627","0.00021086207238436627","15_22:0.006157999475994519","15_22:660","true"
"16","167.8850494643118","14.992945397439419","4.960340866210202","-0.3076594514774509","0.021240234375","0.017578125","0.02490234375","1300","0.0003793688898269839","0","0.0003793688898269839","0.0003793688898269839","16_8:0.0052537021387852045;16_26:0.005775957234180784","16_8:660;16_26:660","true"
"17","301.7545606896941","194.52834946271693","4.820788012788368","-0.30970435909943395","0.012451171875","0.0087890625","0.01611328125","1300","0.00016505579846284974","0","0.00016505579846284974","0.00016505579846284974","17_30:0.007264755413413482","17_30:660","true"
"18","237.40923839669642","115.44358657494506","4.788133383626516","-0.31063598977187784","0.011962890625","0.01513671875","0.0087890625","1300","0.00025313839419503184","0","0.00025313839419503184","0.00025313839419503184","18_19:0.005075747533173719","18_19:660","true"
"19","359.20911892816184","167.5154900875924","4.747093505639028","-0.31072395279331844","0.012939453125","0.01318359375","0.0126953125","1300","0.0001968174063035712","0","0.0001968174063035712","0.0001968174063035712","","","true"
"20","219.25548877116046","168.93416990558393","4.862350692754482","-0.3090978906556921","0.0234375","0.01220703125","0.03466796875","1300","0.00048739602488541683","0","0.00048739602488541683","0.00048739602488541683","20_33:0.04661331755461404;20_19:0.007537351529545155","20_33:660;20_19:660","true"
"21","264.4276518440222","122.88996026313916","4.966497098511458","-0.30694839478531033","0.010986328125","0.0107421875","0.01123046875","1300","0.0002167328188667537","0","0.0002167328188667537","0.0002167328188667537","21_20:0.0076150508692318375;21_22:0.00472856552030082","21_20:660;21_22:660","true"
"22","224.11430590394906","208.6780540377231","5.03819380976359","-0.3065535436677073","0.007568359375","0.0068359375","0.00830078125","1300","0.00021910324929380552","0","0.00021910324929380552","0.00021910324929380552","22_23:0.005181876154556259","22_23:660","true"
"23","254.86065515704416","117.5582984083107","4.844967712962517","-0.309395699354676","0.0126953125","0.00927734375","0.01611328125","1300","0.00021156354643841704","0","0.00021156354643841704","0.00021156354643841704","","","true"
"24","225.3144330901309","127.92835418357038","5.1007997302132075","-0.3054983979252499","0.15771484375","0.14306640625","0.17236328125","1300","0.00026917930645529097","0","0.00026917930645529097","0.00026917930645529097","24_23:0.007245737421292281;24_34:0.2481155353079643","24_23:660;24_34:660","true"
"25","144.7118604930778","69.37789418343658","4.94522076215947","-0.3084275156167526","0.01953125","0.01171875","0.02734375","1300","0.00023256871043425122","0","0.00023256871043425122","0.00023256871043425122","25_24:0.0050203772574432814","25_24:660","true"
"26","317.1815384858843","220.11597271023018","4.854117577310016","-0.30976922795032275","0.024169921875","0.0078125","0.04052734375","1300","0.00016231483150933786","0","0.00016231483150933786","0.00016231483150933786","26_25:0.008037742806932757","26_25:660","true"
"27","363.82169340405585","314.42502357006344","4.747651462215024","-0.31027519414312993","0.033935546875","0.0185546875","0.04931640625","1300","0.00011214804962379654","0","0.00011214804962379654","0.00011214804962379654","27_26:0.0032565742895185046","27_26:660","true"
"28","208.19742292792262","100.58859636131369","4.99439664994589","-0.3073714140177614","0.013671875","0.0078125","0.01953125","1300","0.00023881905318718827","0","0.00023881905318718827","0.00023881905318718827","28_27:0.006350598029131349;28_29:0.0050389027069102366;28_35:0.006091420838532757","28_27:660;28_29:660;28_35:660","true"
"29","311.05576554471054","294.2691288162833","4.628640897272525","-0.3122408870668324","0.033203125","0.041015625","0.025390625","1300","0.00013086246935844434","0","0.00013086246935844434","0.00013086246935844434","","","true"
"30","230.41181001625284","58.99785500529834","4.732974178946783","-0.31090012417705765","0.017578125","0.015625","0.01953125","1300","0.00021313821589196338","0","0.00021313821589196338","0.00021313821589196338","30_29:0.0054190964334027425;30_31:0.005744364539751912","30_29:660;30_31:660","true"
"31","282.3178986597623","54.01231637400367","4.797605577662023","-0.31025628620305007","0.012451171875","0.01220703125","0.0126953125","1300","0.00017344199480555936","0","0.00017344199480555936","0.00017344199480555936","31_32:0.00405673093840786","31_32:660","true"
"32","326.90416099240934","405.1820521511935","4.910380515371227","-0.3078794303810588","0.01220703125","0.00927734375","0.01513671875","1300","0.00017117507153671186","0","0.00017117507153671186","0.00017117507153671186","32_36:0.003268679697092436","32_36:660","true"
"33","173.94142856656424","130.68434485082219","4.973180896394168","-0.3075486854907048","0.018310546875","0.025390625","0.01123046875","1300","0.01323996830972269","0","0.01323996830972269","0.01323996830972269","33_39:0.0993519886214465","33_39:660","true"
