"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"12","506.39311589374853","465.44532187180755","4.625986101256372","-0.31372359565205904","0.0546875","0.0458984375","0.0634765625","1216","0.0002979691258313713","0","0.0002979691258313713","0.0002979691258313713","12_13:0.004376560494670584","12_13:533.3333333333333","true"
"13","529.3583106602396","219.12719936002316","4.556974648289681","-0.31377871528415735","0.05810546875","0.03955078125","0.07666015625","1216","0.008473894367126169","0","0.008473894367126169","0.008473894367126169","","","true"
"14","262.62408162006733","90.031608502412","4.510084824457688","-0.3157712274724498","0.02099609375","0.03173828125","0.01025390625","1216","0.00031727432851080605","0","0.00031727432851080605","0.00031727432851080605","14_0:0.009176552628752388;14_18:0.022408435517678738","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","473.318692112023","349.4096993377342","4.59905499412357","-0.32044986829453664","0.06787109375","0.05322265625","0.08251953125","1216","0.00014157164056801693","0","0.00014157164056801693","0.00014157164056801693","","","true"
"16","216.33600320896278","255.9227457238183","4.937425716999114","-0.3088315131283205","0.13525390625","0.16064453125","0.10986328125","1216","1","0","1","1","16_8:0.004315234364582116","16_8:533.3333333333333","true"
"17","447.58046649619865","44.34315106952938","4.752770755155901","-0.31153154230934604","0.012451171875","0.01318359375","0.01171875","1216","0.00011180321736808103","0","0.00011180321736808103","0.00011180321736808103","17_12:0.003035768923495108;17_30:0.0033767691104826525","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","65.29011553729471","70.76918003907542","4.659379744054941","-0.2892599847835004","0.050537109375","0.017578125","0.08349609375","1216","0.0001457520204700869","0","0.0001457520204700869","0.0001457520204700869","18_19:0.010176444521278138","18_19:533.3333333333333","true"
"19","323.12480920919865","160.57680474062082","4.820732832047961","-0.31198328628677313","0.029296875","0.02197265625","0.03662109375","1216","0.00040337238246749185","0","0.00040337238246749185","0.00040337238246749185","19_20:0.005556163903852301","19_20:533.3333333333333","true"
"20","285.738544374921","112.97136968282902","4.738292655403982","-0.3119696404967832","0.07861328125","0.0556640625","0.1015625","1216","0.00021001707511265287","0","0.00021001707511265287","0.00021001707511265287","20_33:0.007905909205338263","20_33:533.3333333333333","true"
"21","374.390629327012","19.089564011682924","4.773889158259145","-0.3114254225761893","0.044677734375","0.0244140625","0.06494140625","1216","0.00026065461531972505","0","0.00026065461531972505","0.00026065461531972505","21_20:0.010773974272379389;21_22:0.010482020583737622","21_20:533.3333333333333;21_22:803.5555555555555","true"
