"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"14","308.622308908213","148.77515336240307","0.004150390625","0.0078125","0.00048828125","2584","0.00009921579420039243","0.00009921579420039243","0","0.00009921579420039243","0.00009921579420039243","14_15:0.01478471405404369;14_13:0.0013894973741579997","14_15:0.018913967955290212;14_13:0.001001487708161719","14_15:68;14_13:80","true"
"15","198.07584152941362","24.26181727510349","0.33935546875","0.67138671875","0.00732421875","2584","1","1","0","1","1","15_14:0.01478471405404369;15_19:0.014290454735783886","15_14:0.018913967955290212;15_19:0.032772117095488024","15_14:68;15_19:68","true"
"16","125.32873757991814","11.72100552966855","0.01220703125","0.0224609375","0.001953125","2584","0.0005762948377394363","0.0005762948377394363","0","0.0005762948377394363","0.0005762948377394363","16_23:0.004983503092914815;16_3:0.011679340776311692","16_23:0.0029772343075341046;16_3:0.018885518325780726","16_23:68;16_3:68","true"
"17","127.01968023523435","15.26351729234052","0.005615234375","0.0107421875","0.00048828125","2584","0.00024293230140823595","0.00024293230140823595","0","0.00024293230140823595","0.00024293230140823595","17_7:0.001974021946786614;17_27:0.0026957993818869375","17_7:0.004136824799800792;17_27:0.006361288622020483","17_7:68;17_27:68","true"
"18","99.53309052992606","74.1800462020755","0.01416015625","0.02197265625","0.00634765625","2584","0.0008433019477701922","0.0008433019477701922","0","0.0008433019477701922","0.0008433019477701922","18_11:0.002241816400026825;18_31:0.0036417880091366983","18_11:0.00407896085624021;18_31:0.00332639914173552","18_11:68;18_31:68","true"
"19","141.9022432833279","45.51970889631947","0.005126953125","0.009765625","0.00048828125","2584","0.00020852147406512234","0.00020852147406512234","0","0.00020852147406512234","0.00020852147406512234","19_35:0.0020487373612323168;19_15:0.014290454735783886","19_35:0.0012183336611314988;19_15:0.032772117095488024","19_35:80;19_15:68","true"
"20","157.5767834938534","110.57652202517565","0.005859375","0.01171875","0","2584","0.0002784191968468274","0.0002784191968468274","0","0.0002784191968468274","0.0002784191968468274","20_21:0.004840797022315962","20_21:0.0019583808254416968","20_21:68","true"
"21","277.45652291654545","206.81239008747377","0.00732421875","0.0126953125","0.001953125","2584","0.00015007508419064242","0.00015007508419064242","0","0.00015007508419064242","0.00015007508419064242","21_36:0.004604906631193922;21_20:0.004840797022315962;21_22:0.0014409197761094672","21_36:0.0026413297861585805;21_20:0.0019583808254416968;21_22:0.003425410711857896","21_36:68;21_20:68;21_22:68","true"
"22","240.69947243716507","51.35453537835684","0.00732421875","0.01318359375","0.00146484375","2584","0.00032289028963715713","0.00032289028963715713","0","0.00032289028963715713","0.00032289028963715713","22_23:0.002496188028300844;22_21:0.0014409197761094672","22_23:0.005104158527529878;22_21:0.003425410711857896","22_23:68;22_21:68","true"
"23","299.3549396992749","232.66816437937172","0.029052734375","0.0400390625","0.01806640625","2584","0.00018008943433474864","0.00018008943433474864","0","0.00018008943433474864","0.00018008943433474864","23_22:0.002496188028300844;23_24:0.0048720222927510215;23_16:0.004983503092914815","23_22:0.005104158527529878;23_24:0.00850608255067084;23_16:0.0029772343075341046","23_22:68;23_24:68;23_16:68","true"
"24","143.14957044178897","61.41380792046198","0.0224609375","0.033203125","0.01171875","2584","0.000683063191966015","0.000683063191966015","0","0.000683063191966015","0.000683063191966015","24_23:0.0048720222927510215;24_25:0.005281609910312929","24_23:0.00850608255067084;24_25:0.006958640337045491","24_23:68;24_25:68","true"
"25","166.63795466983072","41.8715135878163","0.010498046875","0.01220703125","0.0087890625","2584","0.00047959102158463205","0.00047959102158463205","0","0.00047959102158463205","0.00047959102158463205","25_24:0.005281609910312929;25_26:0.01606882438221957;25_37:0.004193852230884254","25_24:0.006958640337045491;25_26:0.029528840877624474;25_37:0.005610229706350944","25_24:68;25_26:68;25_37:68","true"
"26","7.654724600347405","8.580486499110945","0.0390625","0.06201171875","0.01611328125","2584","0.002226773735428269","0.002226773735428269","0","0.002226773735428269","0.002226773735428269","26_25:0.01606882438221957;26_27:0.010768288170675572","26_25:0.029528840877624474;26_27:0.02826370785319815","26_25:68;26_27:68","true"
"27","148.34052162621623","83.91750291543956","0.027587890625","0.0263671875","0.02880859375","2584","0.0002967467125662618","0.0002967467125662618","0","0.0002967467125662618","0.0002967467125662618","27_26:0.010768288170675572;27_28:0.002376604728156595;27_17:0.0026957993818869375","27_26:0.02826370785319815;27_28:0.0028147061108775573;27_17:0.006361288622020483","27_26:68;27_28:68;27_17:68","true"
