iteracion,valor_coste
0,15314052.47026459
1,15314052.470264595
2,15314052.470264578
3,15314052.470264584
4,15314052.470264602
5,15314052.470264602
6,15314052.47026458
7,15314052.470264576
8,15314052.470264584
9,15314052.470264586
10,15314052.470264595
11,15314052.488613447
12,15314052.456841053
13,15314052.463782208
14,15314052.456881676
15,15314052.461439628
16,15314052.443248445
17,15314052.43230719
18,15314052.483130883
19,15314052.467018448
20,15314052.458919758
21,15314052.48543048
22,15314052.418416524
23,15314052.4908974
24,15314052.472147753
25,15314052.425758492
26,15314052.460787404
27,15314052.499860337
28,15314052.469507076
29,15314052.463374633
30,15314052.493988479
31,15314052.506306458
32,15314052.500690842
33,15314052.453120226
34,15314052.465634419
35,15314052.438947417
36,15314052.50803833
37,15314052.444964966
38,15314052.472371574
39,15314052.463710232
40,15314052.47262749
41,15314052.477136271
42,15314052.458660116
43,15314052.416409865
44,15314052.517124897
45,15314052.46932347
46,15314052.450005457
47,15314052.482828176
48,15314052.476626072
49,15314052.476620138
50,15314052.438570278
51,15314052.465475526
52,15314052.433077376
53,15314052.505890686
54,15314052.42987479
55,15314052.461530223
56,15314052.45339394
57,15314052.531434603
58,15314052.448521476
59,15314052.435239226
60,15314052.455458134
61,15314052.507418573
62,15314052.436647404
63,15314052.487289751
64,15314052.455782805
65,15314052.48134694
66,15314052.442784736
67,15314052.444962565
68,15314052.465963824
69,15314052.479061797
70,15314052.476272883
71,15314052.528876882
72,15314052.48897968
73,15314052.465714287
74,15314052.482458541
75,15314052.473547515
76,15314052.433915786
77,15314052.478923619
78,15314052.487290487
79,15314052.459237425
80,15314052.427229693
81,15314052.485133477
82,15314052.471930036
83,15314052.436828252
84,15314052.481887978
85,15314052.456939928
86,15314052.470890442
87,15314052.445436964
88,15314052.487301162
89,15314052.4595071
90,15314052.481215212
91,15314052.450013893
92,15314052.453691049
93,15314052.453613715
94,15314052.469605448
95,15314052.455488706
96,15314052.485166296
97,15314052.52843786
98,15314052.451051189
99,15314052.463106811
100,15314052.425839454
101,15314052.437623238
102,15314052.448097438
103,15314052.473790064
104,15314052.465270279
105,15314052.453764614
106,15314052.46982894
107,15314052.44607696
108,15314052.499856813
109,15314052.467493154
110,15314052.497762075
111,15314052.461052474
112,15314052.50594985
113,15314052.49501436
114,15314052.43695299
115,15314052.499196095
116,15314052.472739086
117,15314052.492829438
118,15314052.490437422
119,15314052.484584965
120,15314052.478435472
121,15314052.452723978
122,15314052.455203548
123,15314052.448992698
124,15314052.493750865
125,15314052.47728178
126,15314052.500597294
127,15314052.525141671
128,15314052.457503334
129,15314052.463960046
130,15314052.498332098
131,15314052.503283609
132,15314052.477723524
133,15314052.46869729
134,15314052.484728577
135,15314052.45788407
136,15314052.457590275
137,15314052.464872213
138,15314052.435590338
139,15314052.46699166
140,15314052.520002352
141,15314052.457389735
142,15314052.42589411
143,15314052.50071933
144,15314052.510770727
145,15314052.488141395
146,15314052.504742527
147,15314052.495961947
148,15314052.421122225
149,15314052.432261134
150,15314052.477425035
151,15314052.486750396
152,15314052.496983774
153,15314052.452274809
154,15314052.492635755
155,15314052.470859911
156,15314052.48247436
157,15314052.475341354
158,15314052.530719515
159,15314052.472388972
160,15314052.463193428
161,15314052.447777469
162,15314052.46549478
163,15314052.478497975
164,15314052.446209721
165,15314052.459684
166,15314052.436775299
167,15314052.447331065
168,15314052.428047244
169,15314052.462581838
170,15314052.47042975
171,15314052.481740693
172,15314052.41858809
173,15314052.481875395
174,15314052.459834345
175,15314052.477100842
176,15314052.497058136
177,15314052.529477
178,15314052.409752872
179,15314052.44157098
180,15314052.489310741
181,15314052.460722987
182,15314052.459742812
183,15314052.473995496
184,15314052.48905011
185,15314052.453789268
186,15314052.483715735
187,15314052.479850179
188,15314052.44981807
189,15314052.45809514
190,15314052.473492803
191,15314052.476045534
192,15314052.52008052
193,15314052.476904878
194,15314052.479384704
195,15314052.455116492
196,15314052.497736916
197,15314052.462880202
198,15314052.45954949
199,15314052.49196008
200,15314052.447081322
201,15314052.45483307
202,15314052.504283827
203,15314052.49101378
204,15314052.479410958
205,15314052.460538322
206,15314052.44993037
207,15314052.503383854
208,15314052.435440496
209,15314052.465420697
210,15314052.507692466
211,15314052.428365083
212,15314052.483545147
213,15314052.492648672
214,15314052.449770577
215,15314052.47567855
216,15314052.473223466
217,15314052.455445664
218,15314052.451743793
219,15314052.492928365
220,15314052.45947614
221,15314052.431726523
222,15314052.445328552
223,15314052.46129869
224,15314052.483455734
225,15314052.499837713
226,15314052.467149384
227,15314052.455388991
228,15314052.480115691
229,15314052.465162355
230,15314052.470598478
231,15314052.51509972
232,15314052.46855033
233,15314052.499795299
234,15314052.457088824
235,15314052.486156149
236,15314052.464750592
237,15314052.477477586
238,15314052.437382195
239,15314052.435071325
240,15314052.44579171
241,15314052.50644507
242,15314052.47343408
243,15314052.456481615
244,15314052.476080706
245,15314052.488117255
