iteracion,valor_coste
0,-21.088360304081682
1,-23.588386904690243
2,-23.588386904690243
3,-32.10126135027346
4,-32.10126135027346
5,-36.43970450184149
6,-36.43970450184149
7,-36.43970450184149
8,-36.43970450184149
9,-36.43970450184149
10,-36.43970450184149
11,-36.43970450184149
12,-36.43970450184149
13,-36.43970450184149
14,-36.43970450184149
15,-36.43970450184149
16,-36.43970450184149
17,-36.43970450184149
18,-39.76758526776952
19,-39.76758526776952
20,-39.76758526776952
21,-39.76758526776952
22,-39.76758526776952
23,-39.76758526776952
24,-39.76758526776952
25,-39.76758526776952
26,-39.76758526776952
27,-39.76758526776952
28,-39.76758526776952
29,-40.810236870100596
30,-40.810236870100596
31,-52.65707925363848
32,-52.65707925363848
33,-52.65707925363848
34,-52.65707925363848
35,-52.65707925363848
36,-52.65707925363848
37,-52.65707925363848
38,-52.65707925363848
39,-52.65707925363848
40,-52.65707925363848
41,-52.65707925363848
42,-52.65707925363848
43,-52.65707925363848
44,-52.65707925363848
45,-52.65707925363848
46,-53.5293326239336
47,-53.5293326239336
48,-53.5293326239336
49,-53.5293326239336
50,-53.5293326239336
51,-53.5293326239336
52,-53.5293326239336
53,-53.5293326239336
54,-53.5293326239336
55,-53.5293326239336
56,-53.5293326239336
57,-66.28974859982392
58,-66.28974859982392
59,-66.28974859982392
60,-66.28974859982392
61,-66.28974859982392
62,-66.28974859982392
63,-66.28974859982392
64,-66.28974859982392
65,-66.28974859982392
66,-66.28974859982392
67,-66.28974859982392
68,-66.28974859982392
69,-66.28974859982392
70,-66.28974859982392
71,-66.28974859982392
72,-66.28974859982392
73,-66.28974859982392
74,-66.28974859982392
75,-66.28974859982392
76,-66.28974859982392
77,-66.28974859982392
78,-66.28974859982392
79,-66.28974859982392
80,-66.28974859982392
81,-66.28974859982392
82,-66.28974859982392
83,-66.28974859982392
84,-66.28974859982392
85,-66.28974859982392
86,-66.28974859982392
87,-66.28974859982392
88,-66.28974859982392
89,-66.28974859982392
90,-66.28974859982392
91,-66.28974859982392
92,-66.28974859982392
93,-66.28974859982392
94,-66.28974859982392
95,-66.28974859982392
96,-66.28974859982392
97,-66.28974859982392
98,-66.28974859982392
99,-66.28974859982392
100,-66.28974859982392
101,-66.28974859982392
102,-66.28974859982392
103,-66.28974859982392
104,-66.28974859982392
105,-66.28974859982392
106,-66.28974859982392
107,-66.28974859982392
108,-66.28974859982392
109,-66.28974859982392
110,-66.28974859982392
111,-66.28974859982392
112,-66.28974859982392
113,-66.28974859982392
114,-66.28974859982392
115,-66.28974859982392
116,-66.28974859982392
117,-66.28974859982392
118,-66.28974859982392
119,-66.28974859982392
120,-66.28974859982392
121,-66.28974859982392
122,-66.28974859982392
123,-66.28974859982392
124,-66.28974859982392
125,-66.28974859982392
126,-66.28974859982392
127,-66.28974859982392
128,-66.28974859982392
129,-66.28974859982392
130,-66.28974859982392
131,-66.28974859982392
132,-66.28974859982392
133,-66.28974859982392
134,-66.28974859982392
135,-66.28974859982392
136,-66.28974859982392
137,-66.28974859982392
138,-66.28974859982392
139,-66.28974859982392
140,-70.69102797326543
141,-70.69102797326543
142,-70.69102797326543
143,-70.69102797326543
144,-70.69102797326543
145,-70.69102797326543
146,-70.69102797326543
147,-70.69102797326543
148,-70.69102797326543
